Date,Name,Year,Letterboxd URI,Rating
2023-08-05,Interstellar,2014,https://boxd.it/4VZ8,5
2023-08-05,The Dark Knight Rises,2012,https://boxd.it/H3m,4
2023-08-05,Tenet,2020,https://boxd.it/leq4,2
2023-08-05,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,3
2023-08-05,Bullet Train,2022,https://boxd.it/qW26,4.5
2023-08-05,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0,3
2023-08-05,Castle in the Sky,1986,https://boxd.it/1W4G,3.5
2023-08-05,Kiki's Delivery Service,1989,https://boxd.it/1JAY,4
2023-08-06,Escape from New York,1981,https://boxd.it/294k,3
2023-08-20,Nightcrawler,2014,https://boxd.it/780m,3
2023-08-20,Oppenheimer,2023,https://boxd.it/wUow,5
2023-08-20,To Kill a Mockingbird,1962,https://boxd.it/2a2E,4
2023-08-20,The 40 Year Old Virgin,2005,https://boxd.it/21hK,3
2023-08-20,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/mK0a,3
2023-08-20,2001: A Space Odyssey,1968,https://boxd.it/2bf0,2.5
2023-08-21,The Girl Who Leapt Through Time,2006,https://boxd.it/1OPa,4
2023-08-21,Weathering with You,2019,https://boxd.it/kPxE,3.5
2023-08-21,A Silent Voice: The Movie,2016,https://boxd.it/d99c,3
2023-08-21,The Cat Returns,2002,https://boxd.it/1Mne,3.5
2023-08-21,5 Centimeters per Second,2007,https://boxd.it/16G4,4.5
2023-08-21,The Boy and the Beast,2015,https://boxd.it/aaRe,3
2023-08-21,Whisper of the Heart,1995,https://boxd.it/17uy,4
2023-08-21,The Garden of Words,2013,https://boxd.it/5Ymq,2.5
2023-08-21,Maquia: When the Promised Flower Blooms,2018,https://boxd.it/h6bM,2.5
2023-08-21,Summer Wars,2009,https://boxd.it/1oDC,3
2023-08-23,One Piece Film Red,2022,https://boxd.it/y2b8,2
2023-08-23,Blue Beetle,2023,https://boxd.it/kJLq,2
2023-08-23,Rio,2011,https://boxd.it/NKc,3
2023-08-23,The Smurfs,2011,https://boxd.it/Zcm,1.5
2023-08-23,Air Buddies,2006,https://boxd.it/1XoM,2
2023-08-23,Arrival,2016,https://boxd.it/aNGk,4
